country,cca3,ania-jobs-composite,ania-jobs-workforce-training,ania-jobs-specialist-pipeline,ania-jobs-union-dialogue,ania-jobs-distributional-monitoring,ania-jobs-productivity-target,ania-democracy-composite,ania-democracy-civic-participation,ania-democracy-multi-watchdog,ania-democracy-civil-society-ethics,ania-democracy-transparency-register,ania-democracy-election-disinfo,ania-cohesion-composite,ania-cohesion-pillar,ania-cohesion-fairness-toolkit,ania-cohesion-linguistic-substrate,ania-cohesion-territorial,ania-cohesion-inclusion-cohorts,ania-ethics-hd-composite,ania-ethics-hd-sovereign-llm,ania-ethics-hd-open-source,ania-ethics-hd-ai-act,ania-ethics-hd-ethics-body,ania-ethics-hd-human-development
Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Australia,AUS,3,2,1,2,1,2,2,1,2,1,1,1,2,1,1,0,1,2,2,0,1,1,2,2
Brazil,BRA,2,1,1,1,2,1,2,2,1,1,2,1,3,2,1,2,1,2,2,1,1,1,1,2
China,CHN,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,2,1,0,2,2,1,2,1,1
Egypt,EGY,2,2,2,0,1,1,0,0,0,0,1,0,2,1,0,2,0,2,2,1,0,1,1,2
Finland,FIN,1,1,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,2,1,1
France,FRA,2,1,1,2,1,2,2,2,1,1,1,1,2,2,0,1,1,1,3,2,1,2,1,2
Germany,DEU,2,1,1,2,1,1,2,2,1,2,1,0,1,1,0,1,1,1,2,1,1,2,2,1
India,IND,2,2,2,0,2,1,2,1,1,1,1,1,3,2,1,2,1,2,2,2,1,1,1,2
Italy,ITA,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,2,1,0,2,1,1
Japan,JPN,2,2,2,1,1,0,1,1,1,1,1,0,2,2,1,1,1,2,3,1,1,2,2,2
Kenya,KEN,2,1,1,0,2,1,2,2,1,2,1,0,2,2,1,1,1,2,1,0,0,1,1,2
New Zealand,NZL,1,1,1,0,1,1,1,1,0,1,1,0,2,2,1,0,1,1,2,0,1,1,1,2
Nigeria,NGA,2,2,1,0,2,1,1,1,1,1,1,0,2,2,1,1,1,2,1,0,0,1,1,2
Portugal,PRT,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,1,1
Qatar,QAT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Singapore,SGP,2,2,2,1,1,1,2,1,1,2,2,1,1,1,2,0,0,1,2,0,1,1,2,1
South Africa,ZAF,2,2,2,1,1,1,1,1,1,1,1,0,2,1,0,1,2,2,2,1,0,1,1,2
Spain,ESP,2,1,1,1,1,1,1,1,1,1,1,0,2,1,1,2,1,1,3,2,1,2,2,1
Sweden,SWE,2,1,1,2,1,0,2,1,1,1,2,0,1,1,1,0,0,1,1,0,0,2,1,1
UAE,ARE,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,2,2,1,1,1,1
United Kingdom,GBR,2,2,1,0,1,2,2,2,1,1,2,0,2,1,1,1,1,1,2,1,2,1,2,1
United States,USA,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,2,2,1,0,0
